:START_ID(Order),:END_ID(Shipper),:TYPE
100,5,SHIPPED_VIA
99,9,SHIPPED_VIA
97,8,SHIPPED_VIA
89,5,SHIPPED_VIA
88,8,SHIPPED_VIA
87,8,SHIPPED_VIA
85,6,SHIPPED_VIA
83,1,SHIPPED_VIA
77,10,SHIPPED_VIA
75,8,SHIPPED_VIA
69,5,SHIPPED_VIA
68,9,SHIPPED_VIA
65,5,SHIPPED_VIA
59,9,SHIPPED_VIA
58,5,SHIPPED_VIA
55,2,SHIPPED_VIA
44,4,SHIPPED_VIA
41,4,SHIPPED_VIA
38,10,SHIPPED_VIA
35,4,SHIPPED_VIA
27,7,SHIPPED_VIA
23,5,SHIPPED_VIA
22,4,SHIPPED_VIA
21,8,SHIPPED_VIA
19,3,SHIPPED_VIA
18,2,SHIPPED_VIA
12,5,SHIPPED_VIA
9,4,SHIPPED_VIA
6,8,SHIPPED_VIA
98,8,SHIPPED_VIA
90,5,SHIPPED_VIA
86,4,SHIPPED_VIA
82,10,SHIPPED_VIA
81,6,SHIPPED_VIA
74,5,SHIPPED_VIA
71,4,SHIPPED_VIA
70,7,SHIPPED_VIA
67,5,SHIPPED_VIA
60,2,SHIPPED_VIA
51,8,SHIPPED_VIA
50,1,SHIPPED_VIA
49,2,SHIPPED_VIA
43,9,SHIPPED_VIA
42,6,SHIPPED_VIA
40,1,SHIPPED_VIA
33,1,SHIPPED_VIA
32,6,SHIPPED_VIA
31,8,SHIPPED_VIA
29,8,SHIPPED_VIA
28,3,SHIPPED_VIA
25,9,SHIPPED_VIA
14,1,SHIPPED_VIA
8,3,SHIPPED_VIA
7,2,SHIPPED_VIA
5,8,SHIPPED_VIA
1,6,SHIPPED_VIA
96,6,SHIPPED_VIA
95,4,SHIPPED_VIA
94,3,SHIPPED_VIA
93,2,SHIPPED_VIA
92,7,SHIPPED_VIA
91,10,SHIPPED_VIA
84,7,SHIPPED_VIA
80,10,SHIPPED_VIA
79,10,SHIPPED_VIA
78,3,SHIPPED_VIA
76,7,SHIPPED_VIA
73,9,SHIPPED_VIA
72,5,SHIPPED_VIA
66,3,SHIPPED_VIA
64,9,SHIPPED_VIA
63,4,SHIPPED_VIA
62,1,SHIPPED_VIA
61,6,SHIPPED_VIA
57,4,SHIPPED_VIA
56,10,SHIPPED_VIA
54,2,SHIPPED_VIA
53,3,SHIPPED_VIA
52,1,SHIPPED_VIA
48,8,SHIPPED_VIA
47,6,SHIPPED_VIA
46,9,SHIPPED_VIA
45,1,SHIPPED_VIA
39,5,SHIPPED_VIA
37,1,SHIPPED_VIA
36,10,SHIPPED_VIA
34,9,SHIPPED_VIA
30,5,SHIPPED_VIA
26,7,SHIPPED_VIA
24,3,SHIPPED_VIA
20,3,SHIPPED_VIA
17,9,SHIPPED_VIA
16,7,SHIPPED_VIA
15,4,SHIPPED_VIA
13,4,SHIPPED_VIA
11,4,SHIPPED_VIA
10,9,SHIPPED_VIA
4,8,SHIPPED_VIA
3,3,SHIPPED_VIA
2,4,SHIPPED_VIA
