OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,CustomerName,LastName,FirstName,ShipperName
100,VN368,1,2024-11-22 13:37:31,2024-12-03 13:37:31,,5,101.13,诺依曼软件网络有限公司信息技术,甘肃省巢湖县蓟州太原路V座 848312,银川市,青海省,910441,中国,诺依曼软件网络有限公司信息技术,吴,涛,申通快递
99,XF086,1,2024-01-30 19:01:45,2024-02-07 19:01:45,,9,72.55,维涛信息有限公司智能科技,陕西省西宁市蓟州阜新路k座 872822,汕尾县,黑龙江省,560252,中国,维涛信息有限公司智能科技,吴,涛,德邦物流
97,QK518,1,2023-08-09 05:48:05,2023-08-20 05:48:05,2023-08-14 05:48:05,8,417.13,凌颖信息信息有限公司虚拟现实,青海省坤市秀英太原路g座 143270,浩市,福建省,683009,中国,凌颖信息信息有限公司虚拟现实,吴,涛,天天快递
89,FU528,1,2024-07-04 22:48:47,2024-07-13 22:48:47,2024-07-06 22:48:47,5,136.61,银嘉科技有限公司区块链技术,天津市文市高明福州路I座 822622,柳州县,重庆市,179829,中国,银嘉科技有限公司区块链技术,吴,涛,申通快递
88,TO179,1,2025-03-09 18:05:14,2025-03-20 18:05:14,2025-03-14 18:05:14,8,388.39,四通信息有限公司数字科技,宁夏回族自治区马鞍山市安次澳门街P座 955922,成都县,重庆市,949001,中国,四通信息有限公司数字科技,吴,涛,天天快递
87,ZJ780,1,2024-07-26 13:04:17,2024-08-06 13:04:17,2024-07-29 13:04:17,8,355.58,网新恒天传媒有限公司生物科技,江苏省颖市徐汇阜新街d座 108012,齐齐哈尔县,西藏自治区,684753,中国,网新恒天传媒有限公司生物科技,吴,涛,天天快递
85,UI658,1,2023-11-13 03:43:29,2023-11-26 03:43:29,2023-11-16 03:43:29,6,275.04,艾提科信传媒有限公司电子商务,甘肃省西安市长寿西安街K座 387533,乌鲁木齐市,湖北省,947357,中国,艾提科信传媒有限公司电子商务,吴,涛,韵达快递
83,EI607,1,2024-08-02 23:12:58,2024-08-07 23:12:58,2024-08-06 23:12:58,1,45.13,七喜网络有限公司信息技术,甘肃省帅市房山蒋路N座 681607,秀华县,辽宁省,852374,中国,七喜网络有限公司信息技术,吴,涛,顺丰速运
77,OO472,1,2025-05-24 05:18:43,2025-05-27 05:18:43,2025-05-25 05:18:43,10,221.24,快讯传媒有限公司云计算,甘肃省贵阳县花溪大冶街w座 762920,欢县,江西省,224136,中国,快讯传媒有限公司云计算,吴,涛,邮政EMS
75,WN529,1,2024-01-21 21:00:09,2024-01-27 21:00:09,,8,331.63,彩虹网络有限公司金融科技,陕西省丹市牧野王街I座 736659,丽华县,重庆市,929077,中国,彩虹网络有限公司金融科技,吴,涛,天天快递
