ReviewID,ProductID,CustomerID,Rating,ReviewDate,text,token_count,CategoryName,ProductName,CompanyName
19,7,XF086,2.8,2025-07-29,"客户ID: XF086
客户公司: 维涛信息有限公司智能科技
客户所在地: 汕尾县, 中国
产品信息: 索尼 智能空气净化器 Advanced (类别: 智能空气净化器)
生产商: 索尼智能科技
产品价格: 9123.76
评分: 2.8星
评价日期: 2025年07月29日
评价内容: ""用了一段时间，这款索尼 智能空气净化器 Advanced不推荐购买。在做饭时时完全不能正常工作。已经申请退款了。""",152,智能空气净化器,索尼 智能空气净化器 Advanced,维涛信息有限公司智能科技
25,8,EG347,3.3,2025-07-08,"客户ID: EG347
客户公司: 商软冠联信息有限公司移动应用开发
客户所在地: 佳县, 中国
产品信息: 松下 智能手环 Advanced (类别: 智能手环)
生产商: 松下智能电器
产品价格: 366.33
评分: 3.3星
评价日期: 2025年07月08日
评价内容: ""在工作时使用还不错，但在其他情况下表现一般。""",124,智能手环,松下 智能手环 Advanced,商软冠联信息有限公司移动应用开发
11,4,HC222,1.6,2025-06-29,"客户ID: HC222
客户公司: 鸿睿思博科技有限公司网络安全
客户所在地: 强县, 中国
产品信息: 博世 智能手环 Ultra (类别: 智能手环)
生产商: 博世智能系统
产品价格: 8986.26
评分: 1.6星
评价日期: 2025年06月29日
评价内容: ""不得不说，这款智能手环完全不符合预期。使用不到一周就出现了问题。已经申请退款了。""",140,智能手环,博世 智能手环 Ultra,鸿睿思博科技有限公司网络安全
3,6,GX010,3.6,2025-06-23,"客户ID: GX010
客户公司: 海创信息有限公司虚拟现实
客户所在地: 凤兰市, 中国
产品信息: 西门子 智能冰箱 Elite (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 2969.73
评分: 3.6星
评价日期: 2025年06月23日
评价内容: ""总体来说还行，质量很好，就是操作复杂。""",120,智能冰箱,西门子 智能冰箱 Elite,海创信息有限公司虚拟现实
20,2,ZJ780,2.1,2025-05-17,"客户ID: ZJ780
客户公司: 网新恒天传媒有限公司生物科技
客户所在地: 齐齐哈尔县, 中国
产品信息: 谷歌 智能空调 Basic (类别: 智能空调)
生产商: 谷歌智能设备
产品价格: 9735.61
评分: 2.1星
评价日期: 2025年05月17日
评价内容: ""不推荐这款智能空调，耗电量大，很失望。""",122,智能空调,谷歌 智能空调 Basic,网新恒天传媒有限公司生物科技
27,10,QL111,2.7,2025-05-12,"客户ID: QL111
客户公司: 华成育卓科技有限公司电子商务
客户所在地: 建国市, 中国
产品信息: 松下 智能洗衣机 Elite (类别: 智能洗衣机)
生产商: 松下智能电器
产品价格: 1378.28
评分: 2.7星
评价日期: 2025年05月12日
评价内容: ""对比了市面上几款同类产品后，这款松下 智能洗衣机 Elite存在明显缺陷。在晚上睡前时完全不能正常工作。以后不会再考虑这个品牌的产品。""",164,智能洗衣机,松下 智能洗衣机 Elite,华成育卓科技有限公司电子商务
14,8,FU528,3.8,2025-04-29,"客户ID: FU528
客户公司: 银嘉科技有限公司区块链技术
客户所在地: 柳州县, 中国
产品信息: 松下 智能手环 Advanced (类别: 智能手环)
生产商: 松下智能电器
产品价格: 366.33
评分: 3.8星
评价日期: 2025年04月29日
评价内容: ""智能手环的质量还可以，节能环保，不过使用说明不清。""",125,智能手环,松下 智能手环 Advanced,银嘉科技有限公司区块链技术
26,4,HC222,3.8,2025-04-07,"客户ID: HC222
客户公司: 鸿睿思博科技有限公司网络安全
客户所在地: 强县, 中国
产品信息: 博世 智能手环 Ultra (类别: 智能手环)
生产商: 博世智能系统
产品价格: 8986.26
评分: 3.8星
评价日期: 2025年04月07日
评价内容: ""购买后，这款博世 智能手环 Ultra中规中矩。优点是稳定性好。让我惊喜的是使用久了会发现一些小问题。便宜没好货，这句话在这里很适用。""",161,智能手环,博世 智能手环 Ultra,鸿睿思博科技有限公司网络安全
2,4,EG900,4.4,2025-02-04,"客户ID: EG900
客户公司: 时空盒数字信息有限公司云计算
客户所在地: 静县, 中国
产品信息: 博世 智能手环 Ultra (类别: 智能手环)
生产商: 博世智能系统
产品价格: 8986.26
评分: 4.4星
评价日期: 2025年02月04日
评价内容: ""这款智能手环的语音识别功能很实用，稳定性好。""",122,智能手环,博世 智能手环 Ultra,时空盒数字信息有限公司云计算
28,4,OO472,3.0,2024-12-13,"客户ID: OO472
客户公司: 快讯传媒有限公司云计算
客户所在地: 欢县, 中国
产品信息: 博世 智能手环 Ultra (类别: 智能手环)
生产商: 博世智能系统
产品价格: 8986.26
评分: 3.0星
评价日期: 2024年12月13日
评价内容: ""作为第一次购买这类产品的新手，这款博世 智能手环 Ultra中规中矩。优点是稳定性好。而且使用久了会发现一些小问题。对得起这个价格。""",157,智能手环,博世 智能手环 Ultra,快讯传媒有限公司云计算
29,4,TO179,4.3,2024-11-22,"客户ID: TO179
客户公司: 四通信息有限公司数字科技
客户所在地: 成都县, 中国
产品信息: 博世 智能手环 Ultra (类别: 智能手环)
生产商: 博世智能系统
产品价格: 8986.26
评分: 4.3星
评价日期: 2024年11月22日
评价内容: ""在工作时时使用效果很好，特别是省电模式功能。""",121,智能手环,博世 智能手环 Ultra,四通信息有限公司数字科技
5,4,EI607,4.1,2024-11-09,"客户ID: EI607
客户公司: 七喜网络有限公司信息技术
客户所在地: 秀华县, 中国
产品信息: 博世 智能手环 Ultra (类别: 智能手环)
生产商: 博世智能系统
产品价格: 8986.26
评分: 4.1星
评价日期: 2024年11月09日
评价内容: ""必须承认，这款博世 智能手环 Ultra值得推荐。如果非要说缺点的话，价格稍微贵了一点。值得购买。""",142,智能手环,博世 智能手环 Ultra,七喜网络有限公司信息技术
